  1.42539993E+02  1.54200001E+01       1     640       1     720  1.00016925E+03  0.00000000E+00    1288     576    1278     572
  1.42360001E+02  1.54600000E+01       1     640       1     720  9.99941772E+02  3.60000000E+03    1270     576    1269     574
  1.42279999E+02  1.55400000E+01       1     640       1     720  9.99208740E+02  7.20000000E+03    1264     579    1265     578
  1.42139999E+02  1.55999994E+01       1     640       1     720  9.98407227E+02  1.08000000E+04    1255     598    1258     581
  1.41940002E+02  1.56599998E+01       1     640       1     720  9.97268555E+02  1.44000000E+04    1238     586    1248     584
  1.41759995E+02  1.56399994E+01       1     640       1     720  9.96273865E+02  1.80000000E+04    1238     579    1239     583
  1.41759995E+02  1.56999998E+01       1     640       1     720  9.95468567E+02  2.16000000E+04    1239     584    1239     586
  1.41740005E+02  1.59200001E+01       1     640       1     720  9.94493713E+02  2.52000000E+04    1246     611    1238     597
  1.41479996E+02  1.61800003E+01       1     640       1     720  9.89736145E+02  2.88000000E+04    1226     613    1225     610
  1.41160004E+02  1.62399998E+01       1     640       1     720  9.90225037E+02  3.24000000E+04    1207     616    1209     613
  1.40860001E+02  1.62599983E+01       1     640       1     720  9.89388672E+02  3.60000000E+04    1194     613    1194     614
  1.40639999E+02  1.62399998E+01       1     640       1     720  9.89198364E+02  3.96000000E+04    1183     613    1183     613
  1.40419998E+02  1.62000008E+01       1     640       1     720  9.89582703E+02  4.32000000E+04    1171     613    1172     611
  1.40259995E+02  1.62199993E+01       1     640       1     720  9.90253723E+02  4.68000000E+04    1165     612    1164     612
  1.40080002E+02  1.62599983E+01       1     640       1     720  9.90948975E+02  5.04000000E+04    1153     617    1155     614
  1.39899994E+02  1.63400002E+01       1     640       1     720  9.90644043E+02  5.40000000E+04    1146     619    1146     618
  1.39699997E+02  1.64599991E+01       1     640       1     720  9.90621216E+02  5.76000000E+04    1136     624    1136     624
  1.39459991E+02  1.65400009E+01       1     640       1     720  9.90165222E+02  6.12000000E+04    1119     630    1124     628
  1.39240005E+02  1.65999985E+01       1     640       1     720  9.87932556E+02  6.48000000E+04    1111     627    1113     631
  1.39000000E+02  1.65999985E+01       1     640       1     720  9.87791077E+02  6.84000000E+04    1105     634    1101     631
  1.38860001E+02  1.65999985E+01       1     640       1     720  9.86935059E+02  7.20000000E+04    1093     631    1094     631
  1.38679993E+02  1.66199989E+01       1     640       1     720  9.85939819E+02  7.56000000E+04    1085     635    1085     632
  1.38539993E+02  1.66399994E+01       1     640       1     720  9.85528320E+02  7.92000000E+04    1078     630    1078     633
  1.38360001E+02  1.67399998E+01       1     640       1     720  9.86135376E+02  8.28000000E+04    1071     640    1069     638
  1.38100006E+02  1.68199997E+01       1     640       1     720  9.86177185E+02  8.64000000E+04    1056     643    1056     642
  1.37839996E+02  1.68199997E+01       1     640       1     720  9.86434753E+02  9.00000000E+04    1043     645    1043     642
  1.37619995E+02  1.68199997E+01       1     640       1     720  9.85188904E+02  9.36000000E+04    1030     640    1032     642
  1.37479996E+02  1.67799988E+01       1     640       1     720  9.85023254E+02  9.72000000E+04    1025     641    1025     640
  1.37380005E+02  1.67999992E+01       1     640       1     720  9.84881592E+02  1.00800000E+05    1019     640    1020     641
  1.37279999E+02  1.69399986E+01       1     640       1     720  9.84492615E+02  1.04400000E+05    1016     648    1015     648
  1.37059998E+02  1.70799999E+01       1     640       1     720  9.83606079E+02  1.08000000E+05    1002     658    1004     655
  1.36759995E+02  1.71599998E+01       1     640       1     720  9.82045349E+02  1.11600000E+05     991     654     989     659
  1.36520004E+02  1.71599998E+01       1     640       1     720  9.79982605E+02  1.15200000E+05     973     659     977     659
  1.36339996E+02  1.71399994E+01       1     640       1     720  9.78298279E+02  1.18800000E+05     970     659     968     658
  1.36160004E+02  1.71599998E+01       1     640       1     720  9.77190063E+02  1.22400000E+05     959     657     959     659
